SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
138647459.0703125,,4.79,,Bridgeview,20233,60455,,IL,84588.532255366
13758771.8125,,0.48,,Hometown,20234,60456,,IL,16486.10030641948
74668457.3984375,,2.58,,Hickory Hills,20235,60457,,IL,50381.85264848602
76340269.125,,2.64,,Justice,20236,60458,,IL,58066.951892344514
126946289.5859375,,4.39,,Burbank,20237,60459,,IL,55610.89069084813
2792015698.6484375,,97.05,,Odell,20238,60460,,IL,290595.56130162097
96410414.5078125,,3.34,,Olympia Fields,20239,60461,,IL,43797.51984188365
456919850.609375,,15.81,,Orland Park,20240,60462,,IL,129077.80993952231
1451638883.6484375,,49.97,,Poplar Grove,20241,61065,,IL,291526.4710596513
846407734.609375,,29.16,,Ridott,20242,61067,,IL,159126.6447252136
3225596298.4296875,,111.39,,Rochelle,20243,61068,,IL,309901.58206067863
981231078.625,,33.76,,Rock City,20244,61070,,IL,232263.7529708415
2241543474.1640625,,77.55,,Rock Falls,20245,61071,,IL,291304.34989150066
1559145100.03125,,53.660000000000004,,Rockton,20246,61072,,IL,289698.33183942805
804940977.46875,,27.7,,Roscoe,20247,61073,,IL,211427.32635417665
3214099854.1171875,,110.85000000000001,,Savanna,20248,61074,,IL,442241.64945363323
1555882478.3515625,,53.53,,Scales Mound,20249,61075,,IL,228054.66074781757
1842108725.2890625,,64.12,,Elmwood,20250,61529,,IL,374917.8368872103
1573786746.375,,54.81,,Eureka,20251,61530,,IL,213590.34729540796
1124609772.5546875,,39.19,,Farmington,20252,61531,,IL,201184.48779632256
871081602.125,,30.400000000000002,,Forest City,20253,61532,,IL,160738.05068237474
1202171575.3125,,41.9,,Glasford,20254,61533,,IL,225094.21334360322
1774175910.1015625,,61.92,,Green Valley,20255,61534,,IL,221290.65631329088
264674982.4140625,,9.22,,Groveland,20256,61535,,IL,85247.1736072997
1198735541.3203125,,41.75,,Hanna City,20257,61536,,IL,256084.51084826316
1505807008.2421875,,52.31,,Henry,20258,61537,,IL,223070.0454258233
1485489864.8046875,,51.63,,Lacon,20259,61540,,IL,241948.86473926785
1881091.015625,,0.07,,La Rose,20260,61541,,IL,5750.384099631043
2905911272.2890625,,101.39,,Lewistown,20261,61542,,IL,378032.32748360623
1686883389.8964844,,55.07,,Proctor,20262,59929,,MT,224943.24743731742
10450804483.11914,,337.46,,Rexford,20263,59930,,MT,679715.9978658783
2154406116.4960938,,70.33,,Rollins,20264,59931,,MT,236562.0843307322
1237052418.5234375,,40.31,,Somers,20265,59932,,MT,223248.42825399278
53319914.685546875,,1.73,,Stryker,20266,59933,,MT,40004.470991425325
43522931.79296875,,1.4,,Trego,20267,59934,,MT,44436.381883537535
32420092786.52539,,1048.83,,Troy,20268,59935,,MT,1106559.4228520787
224820051.73046875,,7.29,,West Glacier,20269,59936,,MT,83304.65079237476
15660249288.90625,,507.71000000000004,,Whitefish,20270,59937,,MT,841862.2216771323
1194717504.6015625,,41.09,,Antioch,20271,60002,,IL,226421.18037845532
330083455.0703125,,11.39,,Arlington Heights,20272,60004,,IL,137345.76533021455
244232131.7890625,,8.43,,Arlington Heights,20273,60005,,IL,150053.01685303147
458529831.40625,,15.82,,Elk Grove Village,20274,60007,,IL,138977.23246363472
